edad    población
----- -------------
0       237485
1       235380
2       232698
3       232977
4       240355
5       253783
6       259286
7       255103
8       253727
9       257251
10      261503
11      262813
12      261239
13      254675
14      247390
15      242698
16      242620
17      246540
18      251565
19      259382
20      266643
21      273756
22      283395
23      291567
24      300768
25      310246
26      318988
27      326663
28      332641
29      341333
30      348912
31      343528
32      338009
33      321178
34      307851
35      298657
36      293724
37      291770
38      290265
39      286689
40      280255
41      273917
42      270158
43      268754
44      269088
45      268587
46      266068
47      260328
48      253588
49      247710
50      244691
51      244147
52      245405
53      245947
54      244820
55      242282
56      238883
57      234587
58      229184
59      222668
60      215503
61      208478
62      202331
63      196578
64      190654
65      183906
66      176668
67      169205
68      161590
69      152966
70      143648
71      129832
72      120013
73      114500
74      107347
75      99567
76      92332
77      85583
78      79607
79      73865
80      68375
81      62863
82      57395
83      51928
84      46500
85      41516
86      37071
87      33277
88      29818
89      26522
90      23249
91      19957
92      16691
93      13490
94      10581
95      8115
96      6041
97      4400
98      3134
99      2206
100     4941

