Fabricante,Campaña SARS-CoV-2 (AstraZeneca),CanSino,Campaña SARS-CoV-2 (Janssen),Campaña SARS-CoV-2 (Pfizer),Campaña SARS-CoV-2 (Sinovac)
2020-12-24,0.0,0.0,0.0,420.0,0.0
2020-12-25,0.0,0.0,0.0,4779.0,0.0
2020-12-26,0.0,0.0,0.0,3140.0,0.0
2020-12-27,0.0,0.0,0.0,309.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0,0.0,0.0
2020-12-30,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,405.0,0.0
2021-01-05,0.0,0.0,0.0,1443.0,0.0
2021-01-06,0.0,0.0,0.0,205.0,0.0
2021-01-07,0.0,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,1.0,0.0
2021-01-09,0.0,0.0,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0,1.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0,0.0,0.0
2021-01-13,0.0,0.0,0.0,1.0,0.0
2021-01-14,0.0,0.0,0.0,2120.0,0.0
2021-01-15,0.0,0.0,0.0,956.0,0.0
2021-01-16,0.0,0.0,0.0,23.0,0.0
2021-01-17,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,11051.0,0.0
2021-01-19,0.0,0.0,0.0,19366.0,0.0
2021-01-20,0.0,0.0,0.0,9309.0,0.0
2021-01-21,0.0,0.0,0.0,3056.0,0.0
2021-01-22,0.0,0.0,0.0,411.0,0.0
2021-01-23,0.0,0.0,0.0,0.0,0.0
2021-01-24,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,17.0,0.0
2021-01-26,0.0,0.0,0.0,19.0,0.0
2021-01-27,0.0,0.0,0.0,1.0,0.0
2021-01-28,0.0,0.0,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0,0.0,0.0
2021-01-30,0.0,0.0,0.0,1.0,0.0
2021-01-31,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,1.0,0.0
2021-02-02,0.0,0.0,0.0,1.0,13189.0
2021-02-03,0.0,0.0,0.0,3.0,170387.0
2021-02-04,0.0,0.0,0.0,22.0,174035.0
2021-02-05,0.0,0.0,0.0,19.0,168827.0
2021-02-06,0.0,0.0,0.0,1.0,27854.0
2021-02-07,0.0,0.0,0.0,0.0,8639.0
2021-02-08,0.0,0.0,0.0,20.0,221500.0
2021-02-09,0.0,0.0,0.0,96.0,242426.0
2021-02-10,0.0,0.0,0.0,109.0,272356.0
2021-02-11,0.0,0.0,0.0,188.0,251227.0
2021-02-12,0.0,0.0,0.0,150.0,229136.0
2021-02-13,0.0,0.0,0.0,0.0,29531.0
2021-02-14,0.0,0.0,0.0,0.0,4468.0
2021-02-15,0.0,0.0,0.0,4.0,265897.0
2021-02-16,0.0,0.0,0.0,1.0,220087.0
2021-02-17,0.0,0.0,0.0,0.0,188050.0
2021-02-18,0.0,0.0,0.0,2.0,155283.0
2021-02-19,0.0,0.0,0.0,0.0,142147.0
2021-02-20,0.0,0.0,0.0,2.0,9639.0
2021-02-21,0.0,0.0,0.0,0.0,1162.0
2021-02-22,0.0,0.0,0.0,12077.0,96045.0
2021-02-23,0.0,0.0,0.0,24809.0,69411.0
2021-02-24,0.0,0.0,0.0,28349.0,57764.0
2021-02-25,0.0,0.0,0.0,33575.0,52371.0
2021-02-26,0.0,0.0,0.0,29617.0,48667.0
2021-02-27,0.0,0.0,0.0,6322.0,3722.0
2021-02-28,0.0,0.0,0.0,2.0,353.0
2021-03-01,0.0,0.0,0.0,14885.0,122293.0
2021-03-02,0.0,0.0,0.0,30845.0,128121.0
2021-03-03,0.0,0.0,0.0,18448.0,139421.0
2021-03-04,0.0,0.0,0.0,9011.0,135749.0
2021-03-05,0.0,0.0,0.0,5566.0,130674.0
2021-03-06,0.0,0.0,0.0,345.0,9300.0
2021-03-07,0.0,0.0,0.0,108.0,959.0
2021-03-08,0.0,0.0,0.0,12562.0,124066.0
2021-03-09,0.0,0.0,0.0,37559.0,101492.0
2021-03-10,0.0,0.0,0.0,41595.0,94239.0
2021-03-11,0.0,0.0,0.0,45703.0,125746.0
2021-03-12,0.0,0.0,0.0,17382.0,133874.0
2021-03-13,0.0,0.0,0.0,553.0,23738.0
2021-03-14,0.0,0.0,0.0,0.0,2750.0
2021-03-15,0.0,0.0,0.0,14876.0,143030.0
2021-03-16,0.0,0.0,0.0,30974.0,135702.0
2021-03-17,0.0,0.0,0.0,29368.0,121957.0
2021-03-18,0.0,0.0,0.0,19349.0,129557.0
2021-03-19,0.0,0.0,0.0,8938.0,130962.0
2021-03-20,0.0,0.0,0.0,478.0,22712.0
2021-03-21,0.0,0.0,0.0,9.0,2844.0
2021-03-22,0.0,0.0,0.0,14969.0,131839.0
2021-03-23,0.0,0.0,0.0,42811.0,107520.0
2021-03-24,0.0,0.0,0.0,47983.0,106332.0
2021-03-25,0.0,0.0,0.0,52278.0,105233.0
2021-03-26,0.0,0.0,0.0,36534.0,130095.0
2021-03-27,0.0,0.0,0.0,2003.0,10944.0
2021-03-28,0.0,0.0,0.0,0.0,969.0
2021-03-29,0.0,0.0,0.0,19173.0,132152.0
2021-03-30,0.0,0.0,0.0,37097.0,96918.0
2021-03-31,0.0,0.0,0.0,29177.0,97972.0
2021-04-01,0.0,0.0,0.0,15267.0,119567.0
2021-04-02,0.0,0.0,0.0,175.0,1684.0
2021-04-03,0.0,0.0,0.0,189.0,1692.0
2021-04-04,0.0,0.0,0.0,3.0,655.0
2021-04-05,0.0,0.0,0.0,16012.0,63986.0
2021-04-06,0.0,0.0,0.0,46798.0,46384.0
2021-04-07,0.0,0.0,0.0,50432.0,44470.0
2021-04-08,0.0,0.0,0.0,38547.0,38220.0
2021-04-09,0.0,0.0,0.0,34041.0,36865.0
2021-04-10,0.0,0.0,0.0,6958.0,4241.0
2021-04-11,0.0,0.0,0.0,485.0,613.0
2021-04-12,0.0,0.0,0.0,47881.0,30317.0
2021-04-13,0.0,0.0,0.0,57224.0,17809.0
2021-04-14,0.0,0.0,0.0,61667.0,17709.0
2021-04-15,0.0,0.0,0.0,47691.0,14620.0
2021-04-16,0.0,0.0,0.0,39497.0,18922.0
2021-04-17,0.0,0.0,0.0,5396.0,2511.0
2021-04-18,0.0,0.0,0.0,651.0,225.0
2021-04-19,0.0,0.0,0.0,8503.0,35466.0
